b_Intercept,b_polypc1M0.521,b_polypc1M0.522,sd_doctor__Intercept,sd_picture__Intercept
-1.4634498148162003,-7.275698886520448,-47.721034967697825,0.4397486044322391,0.08948151599905323
-1.638419246628194,0.22312329787628524,-51.84190269121991,0.6726563648580859,0.10388498976783314
-1.5046606837701526,2.718191789594687,-50.41752933854072,0.4952508327839762,0.053050161161670564
-1.6215379288905065,-6.929853935361149,-45.65251176280735,0.5144748877009906,0.0477016943377454
-1.5430794618501509,-0.8462564716570675,-50.46404470246658,0.45263751337886565,0.014005080181104771
-1.4686183947907767,-0.6883477452356731,-45.153949766516426,0.42556535735077594,0.17637292072585684
-1.4386238709667862,-0.23356328644687652,-51.02839345766757,0.5133476434258888,0.21993037467296725
-1.4314426072254773,-2.7487154543346777,-54.514855346102124,0.522841109180805,0.22294167818400887
-1.5966773779343255,-2.1552010200643106,-55.73178215685476,0.44969610564169477,0.24444161285880228
-1.3986534260897037,-1.9906861882334677,-48.08677553983729,0.4289517643092191,0.1754443991658803
-1.4322023327408178,-0.15355179239240757,-51.20298751238483,0.5716409741498869,0.19381773367057276
-1.5660196739511743,-2.577727820646157,-47.61884416296822,0.58409073394242494,0.20554901155976726
-1.411446314461162,-3.268972864448666,-52.222285062112704,0.5241248990906717,0.10287139378015026
-1.4434692130872582,-0.5059490700241431,-45.27330742236584,0.3957781951559532,0.145682102346308
-1.4766100194361609,-1.1730197842384367,-44.96364747118176,0.5114924735287142,0.21715251479247275
-1.4327855698066563,1.156600382975116,-52.84868779138998,0.4094659514542085,0.2077430345382827
-1.5743669543340877,5.298618708028666,-56.149375951739785,0.5188839242618548,0.26116693183284656
-1.50565125074665,3.8125188530686502,-46.41622470688229,0.41704324484363864,0.27264729693722883
-1.4158640294622389,0.7786813150251561,-50.27052758735727,0.43372874428643166,0.08345686439895551
-1.4567577006986612,0.7803819955751011,-48.676266438045445,0.37105552771737366,0.1272842209434755
