b_Intercept,b_polypc1M0.521,b_polypc1M0.522,sd_doctor__Intercept,sd_picture__Intercept
-2.3090405604864683,-50.325152375218615,-26.22743445010995,0.49981545772959507,0.12200605207694501
-2.6530183198661894,-56.4754241940115,-26.404528452747527,0.9347977133495646,0.028638293201185175
-2.1973027681142145,-59.071919794221095,-27.685333106007846,0.6037087395912568,0.1651902624829162
-2.534138596428912,-56.00615854634662,-31.274242996570415,0.6033315811920025,0.13124475555863388
-2.3231924345738006,-58.131354297176884,-30.923824173385206,0.48231989368126255,0.08195764243045604
-2.4968057480725183,-56.38866826099262,-30.09986430973731,0.5348726571523551,0.1694272878928521
-2.4087237060158335,-52.93932451763957,-26.88868355078538,1.1155656291479,0.12927486458814527
-2.414951938254678,-53.65769315880552,-26.786889681757472,0.67253301050874,0.0718024254703234
-2.305551849959006,-55.45439354779861,-26.826963264048768,0.5425806953542504,0.18581692416806564
-2.323458465810559,-58.37886063601301,-26.443923787675867,0.7574723602627107,0.051650950613353876
-2.3511577360842177,-58.4002876826458,-27.88287718829509,0.711118615407403,0.0405772934335122
-2.52377446723407,-56.730347666891895,-26.66716449118473,0.5049517452841111,0.07580747212636024
-2.2910932644530995,-62.92793242949993,-31.933034633939126,0.8457912213598627,0.028810904960850644
-2.5811522707402492,-65.99079131317035,-31.93394866055992,0.4115531361345066,0.157597977795873
-2.0492997064455323,-52.203133806165525,-22.78341557833768,0.7072180628361706,0.05108965872486334
-2.3784958783764045,-62.472243488127305,-31.470571261973316,0.4938460018021249,0.0714549798437223
-2.5892621816058377,-54.21840841282549,-29.614096844198603,0.6497913749394406,0.05127029621981309
-2.414866352401337,-51.07696304004265,-31.522149674025666,0.8752724357577344,0.24324043705603615
-2.3902103004550206,-56.72221276833411,-24.264896029270684,0.5046300814096977,0.05915539702331948
-2.264023361579248,-53.07112303425191,-27.61269428166763,0.4791392514415871,0.058041930370856365
-2.3805703292701774,-59.52047821871952,-28.395608433854125,0.443272207539481,0.01969029209698427
-2.548242578660999,-57.29357650113203,-21.56331667983596,0.5770681755004367,0.07562201361825564
-2.3319697275820044,-55.888506953111545,-21.83021788652544,0.4412476697716857,0.07957823951831489
-2.328667789870096,-56.280293696177466,-24.683325230621026,0.7887281011274992,0.03050781845218266
-2.3297183437524582,-57.3499624590881,-25.189923558905797,0.4761661418284598,0.06125970357483759
-2.435412969540254,-57.966842284163235,-30.468896132570134,0.872907657631132,0.1935389983525726
